BarcodeID,TripID,Region,Reach,Date,SampleNumber,RiverMile,DepthTotal,DepthSample,DepthIntegrated,GearID,TimeDay,TimeBegin,TimeElapsed,SuspendedLoad,Collector,FmUse,FiltrationEfficiency,Distance,Velocity,Volume,FlagStrange,FlagDelete,EntererSample,Processor,ProcessDate,ProcessTime,QAQC,Checker,EntererSpecimen,Notes
D00001,LF20110210,GrandCanyon,CRLeesFerry,02/10/2011,1,0,19,,TRUE,4,Day,16:57:00,304,,,Net,,189.46,0.62,38.4,TRUE,TRUE,,PhillipsC,10/05/2012,1.5,FALSE,,,Discharge = 20300 cfs. Not extrapolated up for unmeasured individuals.
D00002,LF20110210,GrandCanyon,CRLeesFerry,02/10/2011,2,0,19,,TRUE,4,Day,17:09:00,322,,,Net,,198.82,0.62,40.3,FALSE,FALSE,,EvansM,10/05/2012,1.25,FALSE,,,Discharge = 20300 cfs.
D00003,LF20110210,GrandCanyon,CRLeesFerry,02/10/2011,3,0,19,,TRUE,4,Day,17:20:00,276,,,Net,,167.78,0.61,34.01,FALSE,FALSE,,EvansM,10/09/2012,0.88,FALSE,,,Discharge = 20300 cfs.
D00004,LF20110210,GrandCanyon,CRLeesFerry,02/11/2011,4,0,19,,TRUE,4,Day,09:01:00,272,,,Net,,152.95,0.56,31,FALSE,FALSE,,EvansM,10/10/2012,0.6,FALSE,,,Discharge = 18000 cfs.
D00005,LF20110210,GrandCanyon,CRLeesFerry,02/11/2011,5,0,,,TRUE,4,Day,09:09:00,245,,,Net,,158.87,0.65,32.2,FALSE,FALSE,,QuigleyT,10/05/2012,0.78,FALSE,,,Discharge = 18150 cfs.
D00006,LF20110210,GrandCanyon,CRLeesFerry,02/11/2011,6,0,,,TRUE,4,Day,09:18:00,330,,,Net,,188.81,0.57,38.27,FALSE,FALSE,,QuigleyT,10/05/2012,0.72,FALSE,,,Discharge = 18300 cfs.
D00007,LF20110210,GrandCanyon,CRLeesFerry,02/11/2011,8,0,,,TRUE,4,Day,09:53:00,295,,,Net,,166.03,0.56,33.65,TRUE,TRUE,,EvansM,10/09/2012,0.65,FALSE,,,Discharge = 19000 cfs. Not extrapolated up for unmeasured individuals.
D00008,LF20110210,GrandCanyon,CRLeesFerry,02/11/2011,10,0,,,TRUE,4,Day,10:22:00,308,,,Net,,181.87,0.59,36.87,TRUE,TRUE,,QuigleyT,10/05/2012,1.17,FALSE,,,Discharge = 19150 cfs. Not extrapolated up for unmeasured individuals.
D00009,LF20110210,GrandCanyon,CRLeesFerry,02/11/2011,12,0,,,TRUE,4,Day,10:43:00,312,,,Net,,169.31,0.54,34.32,FALSE,FALSE,,EvansM,10/10/2012,0.82,FALSE,,,Discharge = 19400 cfs.
D00010,LF20110210,GrandCanyon,CRLeesFerry,02/11/2011,13,0,,,TRUE,4,Day,10:51:00,331,,,Net,,183.08,0.55,37.11,TRUE,TRUE,,QuigleyT,10/05/2012,1.58,FALSE,,,Discharge = 19450 cfs. Not extrapolated up for unmeasured individuals.
D00011,LF20110302,GrandCanyon,CRLeesFerry,03/02/2011,1,-11.5,,,TRUE,4,Day,14:30:35,310,,,Net,,606.68,1.96,122.97,TRUE,FALSE,,EvansM,10/10/2012,1.02,FALSE,,,Bongo sampler used.
D00012,LF20110302,GrandCanyon,CRLeesFerry,03/02/2011,2,-11.5,,,TRUE,4,Day,14:30:35,310,,,Net,,612.97,1.98,124.25,TRUE,FALSE,,EvansM,10/11/2012,1,FALSE,,,Bongo sampler used.
D00013,LF20110302,GrandCanyon,CRLeesFerry,03/02/2011,3,-11.5,,,TRUE,4,Day,15:01:12,297,,,Net,,489.88,1.65,99.3,TRUE,FALSE,,EvansM,10/11/2012,0.85,FALSE,,,Bongo sampler used.
D00014,LF20110302,GrandCanyon,CRLeesFerry,03/03/2011,4,-6,34,,TRUE,4,Day,12:07:00,300,,,Net,,232.71,0.78,47.17,TRUE,FALSE,,EvansM,10/10/2012,0.5,FALSE,,,Bongo sampler used.
D00015,LF20110302,GrandCanyon,CRLeesFerry,03/03/2011,5,-6,34,,TRUE,4,Day,12:07:00,300,,,Net,,231.9,0.77,47.01,TRUE,FALSE,,EvansM,10/16/2012,0.73,FALSE,,,Bongo sampler used.
D00016,GC20110308,GrandCanyon,CRGrandCanyon,03/08/2011,2,225.4,36,18,FALSE,4,Day,14:11:00,258,,,Net,,148.25,0.57,30.05,FALSE,FALSE,,EvansM,10/15/2012,1.47,FALSE,,,Discharge = 17200 cfs.
D00017,GC20110308,GrandCanyon,CRGrandCanyon,03/08/2011,3,225.4,36,18,FALSE,4,Day,14:18:00,320,,,Net,,153.65,0.48,31.14,FALSE,FALSE,,EvansM,10/17/2012,1.97,FALSE,,,Discharge = 17200 cfs.
D00018,GC20110308,GrandCanyon,CRGrandCanyon,03/08/2011,4,224,50,25,FALSE,4,Day,16:49:33,887,,,Net,,172.16,0.19,34.9,TRUE,FALSE,,EvansM,10/12/2012,2.83,FALSE,,,Lagrangian sampling below River Mile 224 Rapid. Long sample duration verified (2017-06-28 JDM).
D00019,GC20110308,GrandCanyon,CRGrandCanyon,03/08/2011,6,224.1,27,15,FALSE,4,Day,17:26:00,255,,,Net,,135.84,0.53,27.53,FALSE,FALSE,,EvansM,10/12/2012,1.78,FALSE,,,Lagrangian sampling below River Mile 224 Rapid.
D00020,GC20110308,GrandCanyon,CRGrandCanyon,03/08/2011,7,224.1,27,15,FALSE,4,Day,17:33:03,244,,,Net,,129.9,0.53,26.33,FALSE,FALSE,,EvansM,10/12/2012,2,FALSE,,,Lagrangian sampling below River Mile 224 Rapid.
D00021,GC20110308,GrandCanyon,CRGrandCanyon,03/08/2011,8,224.3,50,25,FALSE,4,Day,17:43:48,267,,,Net,,228.33,0.86,46.28,FALSE,FALSE,,QuigleyT,10/16/2012,8.5,FALSE,,,Lagrangian sampling below River Mile 224 Rapid.
D00022,GC20110308,GrandCanyon,CRGrandCanyon,03/08/2011,9,224.3,50,25,FALSE,4,Day,17:52:49,271,,,Net,,218.83,0.81,44.36,FALSE,FALSE,,EvansM,10/15/2012,2.38,FALSE,,,Lagrangian sampling below River Mile 224 Rapid.
D00023,GC20120419,GrandCanyon,CRGrandCanyon,04/21/2012,3,19,26,22,FALSE,4,Crepuscular,18:36:00,328,,,Net,,215.04,0.66,43.59,FALSE,FALSE,,PhillipsC,09/17/2012,5.25,FALSE,,,Natal Origins 2012 April trip.
D00024,GC20120419,GrandCanyon,CRGrandCanyon,04/21/2012,5,19,26,22,FALSE,4,Crepuscular,19:36:00,332,,,Net,,245.35,0.74,49.73,FALSE,FALSE,,EvansM,09/14/2012,5.1,FALSE,,,Natal Origins 2012 April trip.
D00025,GC20120419,GrandCanyon,CRGrandCanyon,04/21/2012,6,19,26,11,FALSE,4,Crepuscular,19:47:00,306,,,Net,,226.5,0.74,45.91,FALSE,FALSE,,PhillipsC,09/14/2012,6.58,FALSE,,,Natal Origins 2012 April trip.
D00026,GC20120419,GrandCanyon,CRGrandCanyon,04/22/2012,3,19,28,24,FALSE,4,Day,12:15:00,338,,,Net,,179.4,0.53,36.36,FALSE,FALSE,,PhillipsC,09/18/2012,5.42,FALSE,,,Natal Origins 2012 April trip.
D00027,GC20120419,GrandCanyon,CRGrandCanyon,04/22/2012,4,19,28,12,FALSE,4,Day,12:28:00,341,,,Net,,229.86,0.67,46.59,FALSE,FALSE,,EvansM,09/21/2012,3.37,FALSE,,,Natal Origins 2012 April trip.
D00028,GC20120419,GrandCanyon,CRGrandCanyon,04/22/2012,5,19,28,24,FALSE,4,Day,12:40:00,332,,,Net,,154.89,0.47,31.4,FALSE,FALSE,,PhillipsC,09/21/2012,5,FALSE,,,Natal Origins 2012 April trip.
D00029,GC20120419,GrandCanyon,CRGrandCanyon,04/22/2012,8,19,28,12,FALSE,4,Crepuscular,18:18:00,332,,,Net,,250.09,0.75,50.69,FALSE,FALSE,,PhillipsC,09/28/2012,5.5,FALSE,,,Natal Origins 2012 April trip. Taken in a place a bit shallower than the Day samples.
D00030,GC20120419,GrandCanyon,CRGrandCanyon,04/22/2012,11,19,28,24,FALSE,4,Crepuscular,19:36:00,308,,,Net,,203.15,0.66,41.18,FALSE,FALSE,,PhillipsC,10/01/2012,3.5,FALSE,,,Natal Origins 2012 April trip. Taken in a place a bit shallower than the Day samples.
D00031,GC20120419,GrandCanyon,CRGrandCanyon,04/22/2012,12,19,28,12,FALSE,4,Crepuscular,19:46:00,303,,,Net,,228.57,0.75,46.33,FALSE,FALSE,,PhillipsC,09/24/2012,5,FALSE,,,Natal Origins 2012 April trip. Taken in a place a bit shallower than the Day samples.
D00032,GC20120419,GrandCanyon,CRGrandCanyon,04/23/2012,2,39.6,17,7,FALSE,4,Crepuscular,18:20:00,307,,,Net,,203.63,0.66,41.28,FALSE,FALSE,,QuigleyT,10/02/2012,4,FALSE,,,Natal Origins 2012 April trip.
D00033,GC20120419,GrandCanyon,CRGrandCanyon,04/23/2012,3,39.6,17,14,FALSE,4,Crepuscular,18:36:00,310,,,Net,,193.46,0.62,39.21,FALSE,FALSE,,EvansM,10/05/2012,5.53,FALSE,,,Natal Origins 2012 April trip.
D00034,GC20120419,GrandCanyon,CRGrandCanyon,04/23/2012,5,39.6,17,14,FALSE,4,Crepuscular,19:36:00,321,,,Net,,253.91,0.79,51.47,TRUE,FALSE,,PhillipsC,09/21/2012,9,FALSE,,,"Natal Origins 2012 April trip. No extra Lumbriculidae count on 250 um sieve, when I think there should be one."
